x,y,z,S_u,S_v,S_w
0.0,0.5,0.6000000000000001,2.9878321647415556,-0.9149626463083161,-1.8465818304904578
0.0,0.5,0.65,2.799179550690753,-1.3442119902846559,-2.54160184615763
0.0,0.5,0.7000000000000001,2.5416018461576297,-1.740362373876363,-2.9878321647415556
0.0,0.5,0.75,2.221441469079183,-2.0936592598916635,-3.141592653589793
0.0,0.5,0.8,1.846581830490457,-2.395403306471719,-2.987832164741556
0.0,0.5,0.8500000000000001,1.4262532187813182,-2.638164573758654,-2.5416018461576284
0.0,0.5,0.9,0.9708055193627335,-2.8159654736734083,-1.8465818304904573
0.0,0.5,0.9500000000000001,0.491453366138639,-2.924427957972725,-0.9708055193627341
0.0,0.5,1.0,3.847214324707763e-16,-2.9608813203268074,-7.694428649415526e-16
0.0,0.55,0.0,0.0,2.4390251982913576,0.0
0.0,0.55,0.05,0.4854027596813666,2.3911419862893646,1.1394786680748852
0.0,0.55,0.1,0.9588532924599787,2.249541667193001,2.1780342885696653
0.0,0.55,0.15000000000000002,1.408693674926595,2.020236542331901,3.0243614376301307
0.0,0.55,0.2,1.823847343930251,1.7128066282321284,3.6054549360424692
0.0,0.55,0.25,2.194091838324043,1.3397787006519908,3.8735138306092685
0.0,0.55,0.30000000000000004,2.510310509884968,0.9158326346370884,3.810396891782486
0.0,0.55,0.35000000000000003,2.7647170054495924,0.45690207878890154,3.42919899799649
0.0,0.55,0.4,2.9510469927703653,-0.02075574253261636,2.7727990092473154
0.0,0.55,0.45,3.0647124091656743,-0.5014455451791999,1.9095254677298032
0.0,0.55,0.5,3.102914434849978,-0.9708055193627341,0.9263677707858746
0.0,0.55,0.55,3.0647124091656743,-1.4164081914875164,-0.07960017511316997
0.0,0.55,0.6000000000000001,2.9510469927703653,-1.8281516182102098,-1.0107427994638745
0.0,0.55,0.65,2.764717005449593,-2.1984229413957777,-1.7783995428603925
0.0,0.55,0.7000000000000001,2.510310509884968,-2.5220386155392305,-2.3115023525684695
0.0,0.55,0.75,2.1940918383240433,-2.7959869796960914,-2.563431965418555
0.0,0.55,0.8,1.8238473439302514,-3.0190172054181885,-2.516444308308487
0.0,0.55,0.8500000000000001,1.408693674926594,-3.1911322378132274,-2.1832371032267512
0.0,0.55,0.9,0.9588532924599791,-3.313050864538378,-1.6055075201415236
0.0,0.55,0.9500000000000001,0.4854027596813669,-3.3857048077108507,-0.8496469747680867
0.0,0.55,1.0,3.799848732284454e-16,-3.409830717654092,-6.748288862945259e-16
0.0,0.6000000000000001,0.0,0.0,1.8926745584281797,0.0
0.0,0.6000000000000001,0.05,0.4673999263213402,1.8354108136878922,1.3497725815594468
0.0,0.6000000000000001,0.1,0.9232909152452282,1.6666849611241148,2.588392718405384
0.0,0.6000000000000001,0.15000000000000002,1.3564474176089107,1.3954556278427341,3.6150719240793743
0.0,0.6000000000000001,0.2,1.7562036827601815,1.0358838426884303,4.348747848101376
0.0,0.6000000000000001,0.25,2.1127163847360357,0.6062519091538126,4.735540640779873
0.0,0.6000000000000001,0.30000000000000004,2.417206997616006,0.1275903117407875,4.753585408467735
0.0,0.6000000000000001,0.35000000000000003,2.6621779519645803,-0.37786319200392526,4.414778600497041
0.0,0.6000000000000001,0.4,2.841597249873711,-0.8882342065223557,3.7632770784266607
0.0,0.6000000000000001,0.45,2.9510469927703653,-1.3834732411120285,2.8709050730229704
0.0,0.6000000000000001,0.5,2.9878321647415556,-1.846581830490457,1.8299252926166334
0.0,0.6000000000000001,0.55,2.951046992770365,-2.264501346003749,0.7438866783322171
0.0,0.6000000000000001,0.6000000000000001,2.841597249873711,-2.6285965803987197,-0.2825523306739326
0.0,0.6000000000000001,0.65,2.6621779519645803,-2.9347063372885254,-1.1538278514995848
0.0,0.6000000000000001,0.7000000000000001,2.417206997616006,-3.182775641039248,-1.7927040881409257
0.0,0.6000000000000001,0.75,2.1127163847360357,-3.376124654889498,-2.147635473831876
0.0,0.6000000000000001,0.8,1.7562036827601817,-3.5204440048613415,-2.1975416485072863
0.0,0.6000000000000001,0.8500000000000001,1.3564474176089099,-3.6226315900216552,-1.9535345279172511
0.0,0.6000000000000001,0.9,0.9232909152452285,-3.689599665674412,-1.4574366906952085
0.0,0.6000000000000001,0.9500000000000001,0.46739992632134053,-3.7271817180434867,-0.7772458131313054
0.0,0.6000000000000001,1.0,3.658918253097377e-16,-3.739256388918637,-6.188243064073371e-16
0.0,0.65,0.0,0.0,1.36736365067984,0.0
0.0,0.65,0.05,0.4378881555638618,1.3037847548583432,1.5914578626830136
0.0,0.65,0.1,0.8649940514702722,1.1168919959330383,3.0579446602599805
0.0,0.65,0.15000000000000002,1.270800923078815,0.8178994830760578,4.2859636745015
0.0,0.65,0.2,1.645316458414696,0.42446813035983055,5.183862373420311
0.0,0.65,0.25,1.9793188420521446,-0.04073732462735968,5.690100892504553
